#{"t_start": 1754390739.1912675, "env_id": "None"}
r,l,t
307.784583,7,12.951828
155.59046,7,12.958822
19.536475,7,12.967266
146.755573,7,12.974645
577.045318,7,12.983172
138.873566,7,12.990871
377.96568,7,13.000034
540.699941,7,13.006989
255.291627,7,13.015008
397.873054,7,13.022832
880.045996,7,13.03375
550.421027,7,13.041078
239.285232,7,13.051567
481.934298,7,13.059247
622.515327,7,13.068125
268.040845,7,13.076257
-35.852588,7,13.084846
294.110262,7,13.093117
323.648323,7,13.102218
702.65142,7,13.11121
1042.911626,7,13.119226
263.675548,7,13.1285
337.302833,7,13.139505
119.035458,7,13.148917
-0.361412,7,13.158455
831.707904,7,13.167217
400.333456,7,13.17606
68.153889,7,13.185331
108.051486,7,13.194429
773.33676,7,13.200762
299.913742,7,13.208793
772.527941,7,13.217639
360.558179,7,13.226226
188.886003,7,13.233861
273.571336,7,13.242578
865.687006,7,13.255014
652.213755,7,13.264166
283.502925,7,13.272183
699.907742,7,13.280167
1.028215,7,13.287432
293.129886,7,13.294685
246.340076,7,13.301082
35.390533,7,13.307976
300.768199,7,13.314638
416.337858,7,13.32185
311.991111,7,13.328589
310.623199,7,13.335508
614.922509,7,13.34192
282.899154,7,13.349
-101.649678,7,13.355872
-140.937175,7,13.364541
485.794912,7,13.371001
641.76956,7,13.37735
589.948198,7,13.384152
215.230687,7,13.391157
471.755362,7,13.397727
482.616093,7,13.404452
414.992748,7,13.411564
552.270482,7,13.418314
283.743566,7,13.425906
-130.17382,7,13.43225
285.277187,7,13.441016
339.849163,7,13.447268
768.375305,7,13.453364
223.51319,7,13.459378
509.376803,7,13.465561
576.995654,7,13.474667
263.472817,7,13.481594
471.253681,7,13.48819
129.218809,7,13.495407
143.265569,7,13.502079
243.803254,7,13.509292
577.20114,7,13.515339
-131.624302,7,13.521835
-104.516126,7,13.528492
377.683913,7,13.535453
548.630811,7,13.541905
211.057491,7,13.548236
319.494537,7,13.555896
349.214061,7,13.562375
935.680198,7,13.57042
197.512018,7,13.57708
516.72383,7,13.586255
93.648772,7,13.594381
492.975719,7,13.601187
171.155386,7,13.608507
581.326175,7,13.615519
158.635552,7,13.622033
-51.474688,7,13.629136
428.026343,7,13.636061
168.105058,7,13.642915
50.396403,7,13.650776
621.981627,7,13.658705
392.870403,7,13.665626
-147.4831,7,13.67238
609.192657,7,13.679371
606.738151,7,13.686127
720.044589,7,13.695058
1163.410236,7,13.703628
-42.19804,7,13.712966
558.840941,7,13.721977
176.59513,7,13.72952
325.821123,7,13.73735
24.811409,7,13.745167
475.565665,7,13.755495
434.270193,7,13.768461
714.664064,7,13.785935
823.628897,7,13.797086
83.115072,7,13.809384
250.849415,7,13.81864
122.419406,7,13.827816
373.035282,7,13.838974
271.407013,7,13.850371
646.451378,7,13.862243
261.232288,7,13.873032
75.122562,7,13.884131
487.923042,7,13.894138
182.686889,7,13.905154
111.427405,7,13.917351
633.522981,7,13.927256
370.244726,7,13.938041
558.760401,7,13.947221
603.693572,7,13.957624
-47.041904,7,13.96767
38.772649,7,13.978837
220.615426,7,13.987522
-106.723371,7,13.998981
178.592329,7,14.009875
362.355576,7,14.018572
90.289297,7,14.029627
334.22216,7,14.03895
43.123276,7,14.050087
461.582801,7,14.060986
-148.791232,7,14.071162
807.541664,7,14.081774
774.313714,7,14.091908
8.901958,7,14.10134
733.977849,7,14.112324
433.525537,7,14.122266
322.250368,7,14.132672
13.628772,7,14.144529
195.95432,7,14.153499
248.425603,7,14.165928
377.872732,7,14.178079
883.786308,7,14.1876
500.599324,7,14.197419
914.378984,7,14.205124
780.572969,7,14.216204
1052.246055,7,14.227494
90.577801,7,14.237146
269.395914,7,14.251018
1286.697845,7,14.264597
196.270789,7,14.277443
334.110969,7,14.287562
210.712191,7,14.297468
634.354995,7,14.306974
236.349034,7,14.316621
342.587178,7,14.326972
366.052491,7,14.33639
-92.457684,7,14.345981
289.188002,7,14.358273
357.15364,7,14.365779
912.672096,7,14.377587
234.954842,7,14.387179
0.972984,7,14.396503
492.108041,7,14.405271
790.915645,7,14.414284
181.156274,7,14.424196
-309.538009,7,14.432691
297.974344,7,14.441308
683.992427,7,14.449494
438.724886,7,14.460079
348.016484,7,19.370018
444.436968,7,19.386215
496.495998,7,19.408039
378.116074,7,19.427041
-70.746845,7,19.443812
930.333929,7,19.460523
916.185412,7,19.4766
690.634481,7,19.493024
575.674012,7,19.514574
442.678215,7,19.531284
63.597008,7,19.546927
188.663294,7,19.562963
774.609315,7,19.578996
736.07092,7,19.595459
-73.050233,7,19.615484
282.25888,7,19.630166
1102.374394,7,19.644849
-218.714809,7,19.660846
317.977707,7,19.677494
1329.890885,7,19.691748
594.912602,7,19.706461
381.746006,7,19.7386
1143.066813,7,19.776033
737.240272,7,19.797107
-37.948861,7,19.819953
310.970597,7,19.850199
823.737806,7,19.86807
620.001364,7,19.889951
538.396754,7,19.908181
65.283509,7,19.926781
1084.297804,7,19.94945
336.37538,7,19.981412
-14.230443,7,20.00436
287.515906,7,20.028683
-13.318552,7,20.054718
92.872565,7,20.077173
-36.008493,7,20.094422
525.573925,7,20.111001
492.011879,7,20.131967
681.237302,7,20.159566
155.929611,7,20.183425
79.929246,7,20.208185
402.048917,7,20.238266
230.894214,7,20.260419
494.17775,7,20.290287
736.934079,7,20.31157
584.099441,7,20.333402
403.699784,7,20.354773
1098.219043,7,20.375829
555.807417,7,20.416522
495.967095,7,20.441296
-190.794606,7,20.461387
-9.880471,7,20.480401
793.853618,7,20.504786
91.225655,7,20.523332
762.365615,7,20.541804
545.4183,7,20.559658
1126.100343,7,20.583777
228.856378,7,20.601924
997.163561,7,20.626958
-202.359657,7,20.646727
428.540351,7,20.66595
495.345529,7,20.68703
628.252124,7,20.709602
148.979182,7,20.734828
109.464681,7,20.756227
448.397073,7,20.776497
399.990405,7,20.79597
1039.703575,7,20.815123
622.283354,7,20.84543
369.925207,7,20.865902
574.362955,7,20.885135
1366.540049,7,20.905726
-305.727712,7,20.925241
349.33238,7,20.94345
754.222255,7,20.96721
322.251254,7,20.987324
569.781216,7,21.006601
870.598033,7,21.026681
317.027747,7,21.044453
788.699197,7,21.068126
523.177086,7,21.093744
16.686464,7,21.118886
912.480172,7,21.153781
238.553468,7,21.185735
38.470039,7,21.202985
-18.077991,7,21.223911
1116.770476,7,21.245076
9.802569,7,21.266814
241.495093,7,21.294349
430.926121,7,21.315956
184.936343,7,21.337215
52.650899,7,21.359119
483.76077,7,21.379991
331.859339,7,21.406727
848.45618,7,21.430801
306.261152,7,21.451337
453.302474,7,21.472121
127.192001,7,21.493263
465.536549,7,21.519592
569.129213,7,21.53898
483.452817,7,21.562388
280.263268,7,21.582557
841.09142,7,21.603442
847.164775,7,21.630453
381.284919,7,21.649755
618.189695,7,21.76562
846.720001,7,21.793828
891.28297,7,21.814491
230.149496,7,21.836737
333.50754,7,21.86512
328.691231,7,21.88727
119.387875,7,21.909199
523.303177,7,21.931588
372.458919,7,21.958891
196.677365,7,21.980803
-467.878969,7,22.003085
310.396062,7,22.025876
801.049308,7,22.047739
485.368271,7,22.077601
607.90948,7,22.10043
239.336507,7,22.123167
604.427455,7,22.14443
284.574467,7,22.165755
-73.939084,7,22.192618
855.305878,7,22.213903
650.823922,7,22.233709
-22.134174,7,22.25266
557.314492,7,22.272641
783.96051,7,22.297796
1097.470138,7,22.318109
603.761728,7,22.337037
624.73546,7,22.356204
469.981855,7,22.376519
769.758164,7,22.402982
423.566057,7,22.423998
1094.68607,7,22.446521
387.347009,7,22.467661
627.408808,7,22.486065
201.254162,7,22.505769
484.902018,7,22.521396
773.337928,7,22.536317
502.036183,7,22.55108
596.145133,7,22.566519
865.113187,7,22.588306
1010.668529,7,22.603904
762.338034,7,22.624732
191.316875,7,22.640461
121.586928,7,22.656988
1046.948897,7,22.672392
375.554483,7,22.685663
1025.364732,7,22.700708
322.317315,7,22.722645
189.743333,7,22.738784
470.047684,7,22.754523
615.723407,7,22.76899
1119.361738,7,22.78283
510.4294,7,22.79756
1490.644677,7,22.816501
634.514573,7,22.833665
266.579903,7,22.853033
216.265087,7,22.87018
506.271485,7,22.886417
381.142992,7,22.905661
505.214482,7,22.921971
167.03413,7,22.94028
100.38383,7,22.956482
164.026023,7,22.971689
317.096954,7,22.988634
960.356782,7,23.003263
219.245657,7,23.01795
861.103568,7,23.036861
381.24437,7,23.056839
148.57027,7,23.07385
140.750695,7,23.088477
491.578633,7,23.106744
358.205609,7,23.128765
279.531442,7,23.153337
453.455653,7,23.18297
641.330015,7,23.205513
984.339365,7,23.239259
286.085669,7,23.263303
598.103927,7,23.296295
825.316387,7,23.321792
663.067384,7,23.34917
1044.378507,7,23.369315
558.261009,7,23.40065
222.971902,7,23.433708
818.785323,7,23.466808
1046.402275,7,23.488629
587.22069,7,23.510244
698.762821,7,23.538791
339.616955,7,23.562172
267.878865,7,23.583145
-149.194396,7,23.612732
108.813855,7,23.6404
1040.395449,7,23.666114
642.759502,7,23.686548
470.533271,7,23.706061
117.18126,7,23.726069
689.167365,7,23.760355
541.017714,7,23.790003
739.166575,7,23.895315
729.096801,7,23.919939
137.838405,7,23.937612
750.093442,7,23.956036
884.775782,7,23.980166
528.340458,7,23.999654
-88.891671,7,24.018314
619.904905,7,24.038285
217.716055,7,24.058582
456.119443,7,24.076046
142.854062,7,24.097907
218.299363,7,24.114387
183.43337,7,24.130949
538.473297,7,24.149565
1257.67157,7,24.167544
455.314858,7,24.184
335.128993,7,24.205546
685.754107,7,24.221223
350.382101,7,24.238518
559.853513,7,24.253736
642.845568,7,24.26951
53.336428,7,24.285215
-277.053953,7,24.303859
-71.584887,7,24.321535
